query_id,condition,seed,correct_rank,top5_hit,top10_hit,effective_mse,psnr,max_abs_delta,clipped_fraction,region_mode,caption_source,steps,epsilon
amman_query_-EAmCN9i5BGEadZIccXEyA,geoshield_published_fullframe,1234,49,0,0,15.679997,36.1773,9.4905,0.000505,fullframe,published,100,8.0
boston_query_-4vuSn0vvcBVOccgQqFlow,clean,1234,73,0,0,0.000000,138.1308,0.0000,0.000016,fullframe,published,100,8.0
boston_query_-4vuSn0vvcBVOccgQqFlow,isotropic,1234,32,0,0,15.680000,36.1773,16.6361,0.002463,fullframe,published,100,8.0
boston_query_-4vuSn0vvcBVOccgQqFlow,geoshield_published_fullframe,1234,72,0,0,15.679998,36.1773,9.5134,0.000011,fullframe,published,100,8.0
cph_query_-07-gME-zaQLhCsFrSInSg,clean,1234,3,1,1,0.000000,138.1308,0.0000,0.000065,fullframe,published,100,8.0
cph_query_-07-gME-zaQLhCsFrSInSg,isotropic,1234,6,0,1,15.679997,36.1773,16.9681,0.032254,fullframe,published,100,8.0
cph_query_-07-gME-zaQLhCsFrSInSg,geoshield_published_fullframe,1234,5,1,1,15.679997,36.1773,10.5095,0.000011,fullframe,published,100,8.0
london_query_-7U9wY8ynnu3oZ1g_-0xww,clean,1234,11,0,0,0.000000,138.1308,0.0000,0.034066,fullframe,published,100,8.0
london_query_-7U9wY8ynnu3oZ1g_-0xww,isotropic,1234,9,0,1,15.679998,36.1773,17.0060,0.043142,fullframe,published,100,8.0
london_query_-7U9wY8ynnu3oZ1g_-0xww,geoshield_published_fullframe,1234,51,0,0,15.679998,36.1773,9.2914,0.017708,fullframe,published,100,8.0
manila_query_-5pMypBbFEXHPOTYNJl_EA,clean,1234,10,0,1,0.000000,138.1308,0.0000,0.000033,fullframe,published,100,8.0
manila_query_-5pMypBbFEXHPOTYNJl_EA,isotropic,1234,5,1,1,15.679996,36.1773,16.9503,0.028749,fullframe,published,100,8.0
manila_query_-5pMypBbFEXHPOTYNJl_EA,geoshield_published_fullframe,1234,3,1,1,15.679998,36.1773,9.7208,0.000011,fullframe,published,100,8.0
nairobi_query_-rWgRitoKSYrdczUKUiOrA,clean,1234,2,1,1,0.000000,138.1308,0.0000,0.000510,fullframe,published,100,8.0
nairobi_query_-rWgRitoKSYrdczUKUiOrA,isotropic,1234,2,1,1,15.679997,36.1773,16.6516,0.004210,fullframe,published,100,8.0
nairobi_query_-rWgRitoKSYrdczUKUiOrA,geoshield_published_fullframe,1234,4,1,1,15.680000,36.1773,9.8641,0.000163,fullframe,published,100,8.0
toronto_query_-5HBlqC41yTbYA1NM7dz1A,clean,1234,42,0,0,0.000000,138.1308,0.0000,0.043283,fullframe,published,100,8.0
toronto_query_-5HBlqC41yTbYA1NM7dz1A,isotropic,1234,38,0,0,15.680000,36.1773,17.0235,0.048551,fullframe,published,100,8.0
toronto_query_-5HBlqC41yTbYA1NM7dz1A,geoshield_published_fullframe,1234,29,0,0,15.679997,36.1773,9.6608,0.022352,fullframe,published,100,8.0
zurich_query_-7bB9HS2MqV7UT7vRyROfg,clean,1234,185,0,0,0.000000,138.1308,0.0000,0.003998,fullframe,published,100,8.0
zurich_query_-7bB9HS2MqV7UT7vRyROfg,isotropic,1234,112,0,0,15.680000,36.1773,16.6697,0.006679,fullframe,published,100,8.0
zurich_query_-7bB9HS2MqV7UT7vRyROfg,geoshield_published_fullframe,1234,57,0,0,15.679998,36.1773,9.9845,0.002159,fullframe,published,100,8.0
amman_query_-L_vanPrT4RcWlLbzCqMKA,clean,1234,49,0,0,0.000000,138.1308,0.0000,0.000016,fullframe,published,100,8.0
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,30,0,0,15.679998,36.1773,16.6476,0.004091,fullframe,published,100,8.0
amman_query_-L_vanPrT4RcWlLbzCqMKA,geoshield_published_fullframe,1234,85,0,0,15.680000,36.1773,9.8742,0.000000,fullframe,published,100,8.0
boston_query_-5-CNr3q7kmRGcDSMueI4w,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.000000,fullframe,published,100,8.0
boston_query_-5-CNr3q7kmRGcDSMueI4w,isotropic,1234,1,1,1,15.679997,36.1773,16.4194,0.000667,fullframe,published,100,8.0
boston_query_-5-CNr3q7kmRGcDSMueI4w,geoshield_published_fullframe,1234,1,1,1,15.680000,36.1773,9.9064,0.000000,fullframe,published,100,8.0
cph_query_-0_HsZnndjHv76QpTyNFCA,clean,1234,2,1,1,0.000000,138.1308,0.0000,0.001020,fullframe,published,100,8.0
cph_query_-0_HsZnndjHv76QpTyNFCA,isotropic,1234,2,1,1,15.680000,36.1773,16.6551,0.005046,fullframe,published,100,8.0
cph_query_-0_HsZnndjHv76QpTyNFCA,geoshield_published_fullframe,1234,1,1,1,15.679997,36.1773,9.4059,0.000526,fullframe,published,100,8.0
london_query_-7cNAk24ZhuoOowcvDoImw,clean,1234,34,0,0,0.000000,138.1308,0.0000,0.000054,fullframe,published,100,8.0
london_query_-7cNAk24ZhuoOowcvDoImw,isotropic,1234,51,0,0,15.680000,36.1773,16.9377,0.029769,fullframe,published,100,8.0
london_query_-7cNAk24ZhuoOowcvDoImw,geoshield_published_fullframe,1234,82,0,0,15.680000,36.1773,10.2380,0.000038,fullframe,published,100,8.0
manila_query_-6NSbTuzpeyDbSXKeGAasg,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.000000,fullframe,published,100,8.0
manila_query_-6NSbTuzpeyDbSXKeGAasg,isotropic,1234,2,1,1,15.680000,36.1773,16.6344,0.002279,fullframe,published,100,8.0
manila_query_-6NSbTuzpeyDbSXKeGAasg,geoshield_published_fullframe,1234,3,1,1,15.680000,36.1773,9.7230,0.000000,fullframe,published,100,8.0
nairobi_query_-yxXz3in11JFniZQAa7m2A,clean,1234,51,0,0,0.000000,138.1308,0.0000,0.060286,fullframe,published,100,8.0
nairobi_query_-yxXz3in11JFniZQAa7m2A,isotropic,1234,12,0,0,15.680000,36.1773,17.2082,0.064941,fullframe,published,100,8.0
nairobi_query_-yxXz3in11JFniZQAa7m2A,geoshield_published_fullframe,1234,35,0,0,15.680001,36.1773,9.7073,0.027599,fullframe,published,100,8.0
toronto_query_-5RKNbex7In9Ys4mH40wXA,clean,1234,1563,0,0,0.000000,138.1308,0.0000,0.085883,fullframe,published,100,8.0
toronto_query_-5RKNbex7In9Ys4mH40wXA,isotropic,1234,1676,0,0,15.679995,36.1773,17.4878,0.096669,fullframe,published,100,8.0
toronto_query_-5RKNbex7In9Ys4mH40wXA,geoshield_published_fullframe,1234,1693,0,0,15.679998,36.1773,10.2786,0.045454,fullframe,published,100,8.0
zurich_query_-ANYzSHAsjItBx6yJauT3A,clean,1234,21,0,0,0.000000,138.1308,0.0000,0.000510,fullframe,published,100,8.0
zurich_query_-ANYzSHAsjItBx6yJauT3A,isotropic,1234,33,0,0,15.679997,36.1773,17.0232,0.036589,fullframe,published,100,8.0
zurich_query_-ANYzSHAsjItBx6yJauT3A,geoshield_published_fullframe,1234,77,0,0,15.680000,36.1773,9.7911,0.000125,fullframe,published,100,8.0
amman_query_-MUBUlzvFxQS_zFg6xNhVg,clean,1234,65,0,0,0.000000,138.1308,0.0000,0.000022,fullframe,published,100,8.0
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,1234,59,0,0,15.679998,36.1773,16.6459,0.003266,fullframe,published,100,8.0
