query_id,backbone,map,n_probes,spearman_vs_jacobian,topdecile_jaccard_vs_jacobian,topdecile_concentration,gini,pred_margin_sd,obs_margin_sd,pred_over_obs,rank_flip_rate,clean_margin,energy_preclamp,energy_postclamp,clamp_loss_frac,jacobian_split_half_spearman
amman_query_-D0IlKF__f0c9DPAKbiYnw,resnet18,jacobian_colnorm,128,1.0,1.0,0.48797632444881767,0.34116627290275736,0.023627174311760875,0.006914819135856968,3.416889704206661,0.0,-0.09344989061355591,2955357.21875,2933557.6328125,0.0073762947501555725,0.9849859732903927
amman_query_-D0IlKF__f0c9DPAKbiYnw,resnet18,score_gradient,128,0.7115359742291144,0.36670003336670004,0.7282597788290098,0.5074461729800801,0.033824896347262594,0.006404759594401552,5.28121248716801,0.0,-0.09344989061355591,2957443.6953125,2797068.328125,0.054227699226089186,0.9849859732903927
amman_query_-D0IlKF__f0c9DPAKbiYnw,resnet18,margin_gradient,128,0.7299317723600633,0.36381798002219756,0.6990337607880326,0.49765159227491274,0.0387666285602881,0.005915427766558679,6.553478478673187,0.0,-0.09344989061355591,2951049.2265625,2854213.140625,0.032814120844164484,0.9849859732903927
amman_query_-D0IlKF__f0c9DPAKbiYnw,resnet18,uniform,128,nan,0.00655307994757536,0.1,0.0,0.010427256048600132,0.006695826191092281,1.5572769888310298,0.0,-0.09344989061355591,2948479.59375,2948400.3359375,2.68809092889792e-05,0.9849859732903927
boston_query_-3hM-MR6uuw3se14vw3G0w,resnet18,jacobian_colnorm,128,1.0,1.0,0.41436736200611884,0.2909432406270729,0.01288856201750819,0.005098587182197555,2.5278693012272977,0.0,-0.13582301139831543,2947960.921875,2899033.9140625,0.016596898367764255,0.9796070693341835
boston_query_-3hM-MR6uuw3se14vw3G0w,resnet18,score_gradient,128,0.5676304901548569,0.2841467237955899,0.5818880158743653,0.41357573014896976,0.014991573885858532,0.005435644598567118,2.758012157345688,0.0,-0.13582301139831543,2946116.96875,2827513.8515625,0.04025743663457524,0.9796070693341835
boston_query_-3hM-MR6uuw3se14vw3G0w,resnet18,margin_gradient,128,0.5958397953969832,0.3150684931506849,0.6003159773069685,0.4233987660000258,0.020084467685726578,0.004963796060173971,4.046191149324264,0.0,-0.13582301139831543,2953897.96875,2824176.8359375,0.043915238164909956,0.9796070693341835
boston_query_-3hM-MR6uuw3se14vw3G0w,resnet18,uniform,128,nan,0.07544197444424995,0.1,0.0,0.00729096782415357,0.0049448664444795174,1.4744519201915465,0.0,-0.13582301139831543,2950217.1484375,2942849.3203125,0.002497385024320045,0.9796070693341835
cph_query_-05vIhjxDNupFcgaM90L3w,resnet18,jacobian_colnorm,128,1.0,1.0,0.48564911870654454,0.3290157650404204,0.008328679742054243,0.0038599067441855736,2.157741182374489,0.0,-0.014677822589874268,2950961.5703125,2819908.171875,0.04441040498660975,0.9847667557638916
cph_query_-05vIhjxDNupFcgaM90L3w,resnet18,score_gradient,128,0.6673992888945842,0.3501812987583782,0.6455095308964343,0.4423471042193674,0.010529994867431326,0.003976393564675125,2.648126926111157,0.0,-0.014677822589874268,2959461.8828125,2703514.484375,0.08648443824330068,0.9847667557638916
cph_query_-05vIhjxDNupFcgaM90L3w,resnet18,margin_gradient,128,0.6567189389537021,0.33434683461830816,0.6211718542988663,0.42796345968310656,0.012935993343828967,0.004878340835532936,2.6517198736106287,0.0,-0.014677822589874268,2941039.3203125,2766577.9375,0.059319636295771326,0.9847667557638916
cph_query_-05vIhjxDNupFcgaM90L3w,resnet18,uniform,128,nan,0.007213114754098361,0.1,0.0,0.004091008051696145,0.0024552946029119584,1.6661984459397436,0.0,-0.014677822589874268,2948174.609375,2833566.5859375,0.03887423189693517,0.9847667557638916
london_query_-5QOE2AlZX8rEz8ONtGRrg,resnet18,jacobian_colnorm,128,1.0,1.0,0.4487308690961784,0.3092627784473676,0.01157034342933606,0.0049792091363679725,2.3237311614060694,0.0,-0.03463071584701538,2948993.796875,2859851.2421875,0.030228125532838657,0.9849381566126298
london_query_-5QOE2AlZX8rEz8ONtGRrg,resnet18,score_gradient,128,0.6842778344828581,0.35122058500109965,0.6161785277898012,0.4325522993366795,0.014873809400411888,0.006087223965238843,2.4434470434058175,0.03125,-0.03463071584701538,2953134.5,2790177.703125,0.05518096005278459,0.9849381566126298
london_query_-5QOE2AlZX8rEz8ONtGRrg,resnet18,margin_gradient,128,0.6052986099180021,0.2861628637220013,0.5726206101165212,0.4053054231543831,0.017077310257709605,0.0067200981876773995,2.5412292768317224,0.0625,-0.03463071584701538,2959520.171875,2805588.21875,0.05201246965229388,0.9849381566126298
london_query_-5QOE2AlZX8rEz8ONtGRrg,resnet18,uniform,128,nan,0.1186162949476559,0.1,0.0,0.006507338259240219,0.004111024169591354,1.582899538118518,0.0,-0.03463071584701538,2951712.40625,2940601.6796875,0.0037641629784033095,0.9849381566126298
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,resnet18,jacobian_colnorm,128,0.9999999999999998,1.0,0.455916058183223,0.31442719152491994,0.007682932878124908,0.005371082062580295,1.4304255248027224,0.0,-0.05402028560638428,2953787.0390625,2825715.375,0.04335846232948079,0.983026919633726
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,resnet18,score_gradient,128,0.5904042380254031,0.2865668516385719,0.6123277096696654,0.4219448362484848,0.009857411721348847,0.004217973769966913,2.3370016645281724,0.0,-0.05402028560638428,2947485.8125,2821090.4609375,0.042882429162667934,0.983026919633726
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,resnet18,margin_gradient,128,0.6133119197114459,0.2902141957160857,0.6034851278945078,0.4216296192358482,0.012836728936257442,0.00577668056723333,2.2221635395715564,0.0,-0.05402028560638428,2937784.6953125,2771317.125,0.05666431940302297,0.983026919633726
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,resnet18,uniform,128,nan,0.033647375504710635,0.1,0.0,0.00400511149985074,0.003450555008216176,1.1607151575077344,0.0,-0.05402028560638428,2948224.3359375,2836098.4375,0.03803167115566371,0.983026919633726
nairobi_query_-f7xKWoDFjaXHyTtnRqVKw,resnet18,jacobian_colnorm,128,1.0,1.0,0.4629458760774598,0.32378546022782473,0.021535100983006115,0.008955099818246404,2.4047862581193584,0.0,-0.06396102905273438,2946151.953125,2889866.828125,0.01910462389433038,0.9822284518676255
nairobi_query_-f7xKWoDFjaXHyTtnRqVKw,resnet18,score_gradient,128,0.6274294490471429,0.3150684931506849,0.6448435697998286,0.4426934882633782,0.028475042755222123,0.010468470785053759,2.7200766320021685,0.0,-0.06396102905273438,2950914.890625,2773015.8671875,0.060286057047148935,0.9822284518676255
nairobi_query_-f7xKWoDFjaXHyTtnRqVKw,resnet18,margin_gradient,128,0.6539505108317627,0.3284324324324324,0.6389724952370822,0.4475407335195294,0.03342510275716633,0.00986983508891242,3.3865918180046837,0.0,-0.06396102905273438,2945967.75,2827675.7109375,0.04015388120338385,0.9822284518676255
